pratique,sous_pratique,annee,nombre_plaintes
Sécurité du consommateur,Sécurité des produits non alimentaires non réglementés (obligation générale de sécurité),2009,23.0
Litiges et manquements,Information du consommateur,2013,3809.0
Litiges et manquements,Paiement,2015,4509.0
Vie courante,Régles spécifiques au droit immobilier,2009,634.0
Vie courante,Régles spécifiques au droit immobilier,2016,281.0
Infration pénale hors DGCCRF,Escroquerie,2017,2566.0
Litiges et manquements,Contestation sur le contrat,2014,1973.0
Vie courante,Divers,2013,974.0
Régulation concurrentielle des marchés,Secteurs à réglementation particulière / prix et tarifs publics,2015,185.0
Sécurité du consommateur,Sécurité des produits alimentaires,2017,1881.0
Litiges et manquements,Résiliation et reconduction de contrat,2009,7885.0
Protection du consommateur,Règles de loyauté,2014,3299.0
Sécurité du consommateur,Sécurité des produits non alimentaires,2010,638.0
Sécurité du consommateur,Règles particulières de sécurité des produits non alimentaires,2011,171.0
Vie courante,DGCCRF pratique,2018,69.0
Litiges et manquements,Livraison du bien,2018,3222.0
Vie courante,Commande publique,2013,1.0
Sécurité du consommateur,Sécurité des prestations de service (hors cafés/restaurants),2013,128.0
Sécurité du consommateur,Sécurité des produits non alimentaires non réglementés (obligation générale de sécurité),2010,23.0
Litiges et manquements,Remboursement,2017,1292.0
Sécurité du consommateur,Sécurité des produits alimentaires,2010,2376.0
Litiges et manquements,Execution de la prestation,2012,11459.0
Litiges et manquements,Garanties et sav,2011,5319.0
Litiges et manquements,Remboursement,2011,975.0
Litiges et manquements,Remboursement,2018,1340.0
Litiges et manquements,Recours,2015,1757.0
Vie courante,Protection des données et de la vie privée,2013,73.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives  -  délit penal,2012,23.0
Litiges et manquements,Garanties et sav,2018,3126.0
Protection du consommateur,Règles particulières à certains contrats,2017,9019.0
Sécurité du consommateur,Sécurité des produits alimentaires,2014,2174.0
Vie courante,Régles spécifiques au droit bancaire,2012,158.0
Vie courante,Régles spécifiques au droit bancaire,2018,107.0
Vie courante,Commande publique,2017,8.0
Infration pénale hors DGCCRF,Autre infraction pénale,2014,514.0
Litiges et manquements,Recours,2014,1674.0
Régulation concurrentielle des marchés,Régulation du commerce,2018,4.0
Sécurité du consommateur,Sécurité des produits alimentaires,2016,1806.0
Infration pénale hors DGCCRF,Escroquerie,2018,2370.0
Vie courante,Régles spécifiques au droit immobilier,2014,341.0
Sécurité du consommateur,Process,2012,915.0
Protection du consommateur,Pratiques commerciales interdites et réglementées,2016,1815.0
Protection du consommateur,Signes de qualité,2016,52.0
Litiges et manquements,Remboursement,2012,799.0
Régulation concurrentielle des marchés,Régulation du commerce,2012,2.0
Sécurité du consommateur,Règles particulières de sécurité des produits non alimentaires,2012,149.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives  -  délit penal,2017,42.0
Litiges et manquements,Garanties et sav,2012,4832.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives - délit civil,2009,36.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives  -  délit penal,2014,52.0
Protection du consommateur,Signes de qualité,2014,71.0
Vie courante,Protection des données et de la vie privée,2018,157.0
Régulation concurrentielle des marchés,Pratiques anticoncurrentielles et concentrations,2017,76.0
Protection du consommateur,Information generale  du consommateur et clauses abusives,2012,16189.0
Régulation concurrentielle des marchés,Secteurs à réglementation particulière / prix et tarifs publics,2010,194.0
Litiges et manquements,Execution de la prestation,2014,7312.0
Sécurité du consommateur,Sécurité des prestations de service (hors cafés/restaurants),2011,149.0
Vie courante,Régles spécifiques au droit bancaire,2011,168.0
Régulation concurrentielle des marchés,Transparence et relations inter-entreprises,2014,702.0
Litiges et manquements,Paiement,2014,5152.0
Litiges et manquements,Execution de la prestation,2016,5632.0
Régulation concurrentielle des marchés,Régulation du commerce,2015,2.0
Litiges et manquements,Livraison du bien,2014,4952.0
Litiges et manquements,Recours,2016,1718.0
Vie courante,Commande publique,2014,3.0
Sécurité du consommateur,Process,2013,793.0
Litiges et manquements,Paiement,2013,6148.0
Vie courante,Régles spécifiques au droit immobilier,2018,259.0
Régulation concurrentielle des marchés,Secteurs à réglementation particulière / prix et tarifs publics,2016,157.0
Sécurité du consommateur,Sécurité des prestations de service (hors cafés/restaurants),2014,118.0
Vie courante,Régles spécifiques au droit immobilier,2015,272.0
Protection du consommateur,Services financiers banques assurances et credit,2011,723.0
Vie courante,Régles spécifiques au droit bancaire,2015,172.0
Régulation concurrentielle des marchés,Pratiques commerciales restrictives - délit civil,2013,30.0
Sécurité du consommateur,Process,2018,744.0
Régulation concurrentielle des marchés,Régulation du commerce,2017,4.0
Vie courante,Régles spécifiques au droit bancaire,2013,158.0
Litiges et manquements,Contestation sur le contrat,2017,2257.0
Litiges et manquements,Livraison du bien,2016,3170.0
Vie courante,Evocation à tort d'une règle ou d'un droit,2016,322.0
Litiges et manquements,Execution de la prestation,2011,10760.0
Protection du consommateur,Règles particulières à certains contrats,2011,8353.0
Sécurité du consommateur,Process,2016,746.0
Sécurité du consommateur,Sécurité des produits alimentaires,2018,2116.0
Litiges et manquements,Recours,2017,1668.0
Sécurité du consommateur,Process,2017,778.0
Vie courante,Régles spécifiques au droit immobilier,2012,320.0
